"Continent","Android","Unknown","Windows","iOS","Linux","OS X","macOS","Chrome OS","Samsung"
Cameroon ,54.62,13.57,18.45,10.55,1.07,0,0,0,0
Nicaragua ,20.96,6.74,61.99,4.86,2.58,1.01,1.64,0,0
Mauritius ,53.12,7.57,23.87,10.94,0,1.53,1.52,0,0
Zimbabwe ,51.13,16.64,22.98,6.37,0,1.12,0,0,0
Puerto Rico ,24.55,7.59,31.28,27.41,0,5.4,2.32,0,0
Armenia ,22.02,4.8,52.53,13.99,1.21,1.82,3.51,0,0
Congo (Republic of the),21.34,7.29,65.97,3.44,0,0,0,0,0
Mozambique ,55.37,14.83,19.85,7.23,0,0,0,0,0
Mongolia ,16.34,3.35,63.76,11.54,0,1.84,1.99,0,0
Macao ,23.13,8.03,22.57,38.64,0,4.46,1.78,0,0
Malta ,22.46,5.43,44.67,18.92,0,3.78,3.47,0,0
Gabon ,28.8,5.36,60.21,3.49,0,0,0,0,0
Mauritania ,56.69,14.04,5.89,22.09,0,0,0,0,0
Madagascar ,56.61,9.5,27.15,3.52,1.5,0,0,0,0
Cuba ,64.6,12.97,17.34,3.08,1.54,0,0,0,0
Malawi ,59.6,12.59,21.76,3.3,1.16,0,0,0,0
Maldives ,40.17,9.27,18.38,28.6,1.07,1.48,0,0,0
Trinidad and Tobago ,28.73,6.2,32.24,23.68,2.22,3.3,2.91,0,0
Luxembourg ,26.53,5.68,33.31,17.84,2.79,8.21,5.29,0,0
Mali ,57.12,11.15,25.17,4.21,0,0,0,0,0
Burkina Faso ,62.63,14.4,16.41,3.98,0,0,0,0,0
Montenegro ,40.98,8.52,25.26,20.45,1.54,1.64,1.11,0,0
Somalia ,60.65,17.78,11.77,7.6,0,0,0,0,0
Haiti ,63.44,11.17,11.62,10,1.01,1.42,0,0,0
Togo ,38.02,8.58,46.16,4.82,0,0,0,0,0
Iceland ,15.39,4.18,39.65,18.18,2.2,8.54,9.77,1.93,0
Benin ,50.49,14.79,21.17,9.23,1.47,1.33,1.31,0,0
Botswana ,35.95,11.48,42.93,5.66,1.27,0,1.61,0,0
Seychelles ,36.45,11.76,23.08,19.81,2.75,3.06,2.97,0,0
Reunion ,37.19,6.4,30.03,17.93,1.39,4.33,2.2,0,0
Niger ,74.44,10.1,10.63,2.46,0,0,1.23,0,0
Belize ,14.93,4.1,14.33,51.63,0,11.64,1.48,1.14,0
Namibia ,44.28,13.11,27.25,11.18,0,2.34,0,0,0
American Samoa ,1.82,0,0,60.59,0,35.63,0,0,0
Chad ,68.93,19.49,5.72,4.69,0,0,0,0,0
Guyana ,23.94,8.06,58.17,6.78,0,0,1.1,0,0
Brunei Darussalam ,32.01,6.91,37.44,15.94,1.71,4.25,1.42,0,0
Guinea ,61.05,14.5,9.93,11.47,0,1.55,0,0,0
Papua New Guinea ,52.32,27.76,14.98,2.87,0,0,0,0,0
Rwanda ,33.7,13.89,37.62,8.11,1.49,1.58,2.87,0,0
Aruba ,32.2,8.86,15.96,36.83,0,3.26,1.4,0,0
French Polynesia ,63,3.73,11.69,13.3,0,6.54,1.46,0,0
Sierra Leone ,51.37,18.65,19.27,6.55,0,1.69,0,0,0
Tajikistan ,49.42,12.56,23.94,10.06,0,2.43,0,0,0
Fiji ,53.24,13.85,18.25,10.1,0,2.07,1.15,0,0
Equatorial Guinea ,83.24,4.93,7.49,3.36,0,0,0,0,0
Liberia ,55.32,21.03,12.55,8.57,0,0,0,0,0
Barbados ,31.44,7.16,30.43,16.39,3.28,7.12,3.39,0,0
Guadeloupe ,40.37,7.49,23.34,18.77,1.6,4.87,3.24,0,0
Swaziland ,59.23,14.67,15.01,7.35,0,1.54,0,0,1.07
Lesotho ,53.9,21.27,18.17,4.65,0,0,0,0,0
Timor-Leste ,29.78,6.48,47.98,10.24,0,2.4,2.15,0,0
Andorra ,14.6,2.77,22.48,36.79,1.53,18.21,3.44,0,0
Martinique ,42.81,6.28,20.88,19.99,0,4.54,4.03,0,0
Suriname ,41.77,9.42,28.38,15.16,0,2,2.17,0,0
New Caledonia ,57.3,4.75,20.67,11.74,0,3.69,1.29,0,0
Jersey ,24.12,2.73,23.57,34.1,0,10.9,2.74,0,0
Guernsey ,22.05,1.24,20.12,40.76,1.35,12.25,1.54,0,0
Isle of Man ,24.65,3.61,22.12,32.4,1.04,12.72,2.38,0,0
Bhutan ,54.96,15.91,14.45,10.09,0,2.02,1.64,0,0
Gambia ,55.44,9.4,15.19,13.93,0,3.12,1.22,0,0
Faroe Islands ,8.3,1.06,19.23,51.94,0,16.74,1.06,0,0
Burundi ,49.28,13.33,29.54,4.85,0,0,1.29,0,0
Djibouti ,60.73,14.07,16.46,7.14,0,0,0,0,0
Guam ,26.84,5.15,29.76,24.31,1.52,6.37,2.71,3.07,0
Guinea-Bissau ,60.92,20.71,10.69,6.19,0,0,0,0,0
Cayman Islands ,19.19,4.44,30.53,29.37,0,10.66,4.44,0,0
Saint Lucia ,35.37,6.95,24.82,21.25,1.32,3.1,1.93,4.91,0
Liechtenstein ,15.3,1.97,55.12,17.81,1.27,4.87,3.62,0,0
Antigua and Barbuda ,28.69,7.51,27.1,26.11,0,5.55,3,0,0
Monaco ,10.45,1.56,45.78,22.43,0,12.19,6.48,0,0
